,0
519,1324616.0870338343
520,1335240.0056364092
521,1340843.5380614605
522,1320251.513964382
523,1335862.636922048
524,1373777.7969183852
525,1363775.3014028608
526,1365659.5728368857
527,1361597.1243286282
528,1370327.6860486132
529,1366955.7096685774
530,1361388.1121338713
531,1363417.3716750268
532,1365341.4400183382
533,1381160.274630403
534,1366057.5578401086
535,1376584.7717209624
536,1380617.8340328597
537,1390658.3134988246
538,1382645.5299449929
539,1389835.8492433985
540,1376184.847673255
541,1373634.279622198
542,1379795.8534358141
543,1364671.5895173517
544,1363464.6130606828
545,1379165.4434691556
546,1368223.1016543552
547,1361065.0143060468
548,1367910.4193838225
549,1370505.5621802385
550,1335174.3659733378
551,1342872.7760279977
552,1339771.1666452286
553,1324244.702013305
554,1296288.7381345287
555,1317100.4081266194
556,1320641.3237324709
557,1342917.56771616
558,1335846.1500202205
559,1337964.049691541
560,1346208.495414498
561,1353900.9534443452
562,1348380.0518528095
563,1352669.1310920466
564,1365477.6466336958
565,1357465.1694461473
566,1366964.9624354427
567,1369785.4069349135
568,1377132.9075017334
569,1380167.9976471313
570,1386125.0704229884
571,1381838.3036797456
572,1376557.1055076616
573,1360350.4930312985
574,1358488.46727265
575,1356286.9796404818
576,1365793.8558557697
577,1348083.7644294635
578,1358332.9262859009
579,1377366.3214048308
580,1383573.1323354698
581,1379990.0577407838
582,1394044.4361609793
583,1400933.7546353717
584,1400478.7279502607
585,1404584.6707022474
586,1393996.6693816443
587,1386807.4612457503
588,1376237.0989901952
589,1352670.012694324
590,1352333.8085575802
591,1357609.5645257006
592,1363322.831505891
593,1338560.0920266367
594,1340081.4554342544
595,1333392.2820925282
596,1327464.046856009
597,1331889.8093752458
598,1344274.311341249
599,1350001.5606813566
600,1337349.4868688907
601,1325470.2828393183
602,1327149.574350043
603,1332414.7402293808
604,1334641.5315979
605,1337718.3155460253
606,1350334.34182368
607,1323395.7366788539
608,1312479.4001798974
609,1308880.3414744188
610,1295140.1336364609
611,1293586.152884884
612,1297534.6474400186
613,1305056.0686725266
614,1284917.840470475
615,1283076.0935234344
616,1300498.1990359651
617,1274575.941650312
618,1283472.343903139
619,1283857.1978697968
620,1291196.9673086444
621,1302643.8945422403
622,1290924.653170502
623,1280053.2885738977
624,1255410.9848350638
625,1268035.3418349214
626,1286643.9248797244
627,1296386.9127085956
628,1312533.6248022032
629,1325146.3727223054
630,1317825.3542957334
631,1317332.0388754841
632,1333592.6919159554
633,1328097.211819245
634,1314989.635526852
635,1312826.787156475
636,1319739.2338112723
637,1317783.007296816
638,1322687.6483369737
639,1316468.364582302
640,1332705.900301023
641,1332868.4708233995
642,1355258.3447665207
643,1356509.0396496379
644,1346913.3810714243
645,1341461.1672515802
646,1322895.2237666917
647,1303585.7848920801
648,1285324.6507817653
649,1280218.8880673565
650,1250971.5395172848
